shape,M,N,K,rotation,graphed_cold_us,graphed_hot_us,looped_cold_us,pct_of_ideal,achieved_gbps,l2_inflation,launch_share
q/o_proj,1,4096,4096,2,266.7520,265.4720,267.7760,101.33,125.85,1.0048,0.38
q/o_proj,2,4096,4096,2,294.1440,292.4680,295.8080,91.94,114.19,1.0057,0.56
q/o_proj,4,4096,4096,2,268.5440,268.4160,273.5360,100.80,125.19,1.0005,1.82
q/o_proj,8,4096,4096,2,268.8000,268.5440,271.1040,100.90,125.32,1.0010,0.85
q/o_proj,16,4096,4096,2,270.8480,270.9520,279.2960,100.53,124.85,0.9996,3.02
q/o_proj,32,4096,4096,2,279.0120,280.1920,284.2880,98.34,122.14,0.9958,1.86
q/o_proj,64,4096,4096,2,372.7360,373.8880,376.3200,74.75,92.84,0.9969,0.95
q/o_proj,128,4096,4096,2,381.8240,380.8000,384.3840,75.18,93.37,1.0027,0.67
q/o_proj,256,4096,4096,2,642.3040,647.8080,650.3680,47.32,58.77,0.9915,1.24
q/o_proj,512,4096,4096,2,1352.6800,1313.1239,1358.2079,24.97,31.01,1.0301,0.41
q/o_proj,1024,4096,4096,2,2455.2960,2453.5041,2460.2880,16.51,20.50,1.0007,0.20
gpt-oss,1,2880,2880,2,134.7840,134.0160,137.9840,99.16,123.16,1.0057,2.32
gpt-oss,2,2880,2880,2,151.0400,151.6800,153.6000,88.55,109.98,0.9958,1.67
gpt-oss,4,2880,2880,2,151.2960,152.1920,155.6480,88.53,109.95,0.9941,2.80
gpt-oss,8,2880,2880,2,135.6800,135.9360,139.5200,98.99,122.94,0.9981,2.75
gpt-oss,16,2880,2880,2,137.3240,137.7280,139.5200,98.34,122.14,0.9971,1.57
gpt-oss,32,2880,2880,2,181.7520,182.1440,183.9360,75.12,93.30,0.9978,1.19
gpt-oss,64,2880,2880,2,170.7520,171.6480,171.1360,81.70,101.47,0.9948,0.22
gpt-oss,128,2880,2880,2,205.1840,205.4400,207.2320,70.88,88.03,0.9988,0.99
gpt-oss,256,2880,2880,2,309.8880,309.1200,314.6240,50.76,63.05,1.0025,1.51
gpt-oss,512,2880,2880,2,583.4240,579.3280,580.7360,31.03,38.54,1.0071,-0.46
gpt-oss,1024,2880,2880,2,1275.5200,1268.9760,1271.4120,17.92,22.25,1.0052,-0.32
