shape,M,N,K,rotation,graphed_cold_us,graphed_hot_us,looped_cold_us,pct_of_ideal,achieved_gbps,l2_inflation,launch_share
q_o_proj,1,4096,4096,2,267.1360,267.0080,269.1760,101.18,125.67,1.0005,0.76
q_o_proj,2,4096,4096,2,293.3600,293.1080,302.9520,92.18,114.49,1.0009,3.17
q_o_proj,4,4096,4096,2,268.0320,268.1600,274.3040,100.99,125.43,0.9995,2.29
q_o_proj,8,4096,4096,2,269.2960,269.1840,278.7840,100.71,125.09,1.0004,3.40
q_o_proj,16,4096,4096,2,271.2320,271.2320,280.9600,100.38,124.68,1.0000,3.46
q_o_proj,32,4096,4096,2,279.2960,280.1920,288.2560,98.24,122.02,0.9968,3.11
q_o_proj,64,4096,4096,2,373.3760,373.8880,380.8000,74.62,92.68,0.9986,1.95
q_o_proj,128,4096,4096,2,383.2080,382.2080,389.2360,74.91,93.03,1.0026,1.55
q_o_proj,256,4096,4096,2,645.8720,646.0160,659.0560,47.06,58.45,0.9998,2.00
kv_gqa,1,1024,4096,2,71.9360,71.9360,76.2880,94.01,116.75,1.0000,5.70
kv_gqa,2,1024,4096,2,79.3560,79.1040,83.0720,85.32,105.97,1.0032,4.47
kv_gqa,4,1024,4096,2,79.4880,79.8680,83.4560,85.39,106.05,0.9952,4.75
kv_gqa,8,1024,4096,2,80.8960,80.8960,84.9920,84.31,104.71,1.0000,4.82
kv_gqa,16,1024,4096,2,82.6880,82.5600,86.3720,83.28,103.43,1.0016,4.27
kv_gqa,32,1024,4096,2,74.2400,74.3520,76.9280,94.53,117.41,0.9985,3.49
kv_gqa,64,1024,4096,2,86.5280,85.4760,88.8120,84.16,104.52,1.0123,2.57
kv_gqa,128,1024,4096,2,89.2160,88.7040,91.3920,87.53,108.72,1.0058,2.38
kv_gqa,256,1024,4096,2,193.1520,192.1280,194.6880,45.90,57.00,1.0053,0.79
gate_up,1,14336,4096,2,917.2480,917.2480,926.3360,103.12,128.08,1.0000,0.98
gate_up,2,14336,4096,2,980.7360,985.2160,994.9440,96.48,119.82,0.9955,1.43
gate_up,4,14336,4096,2,985.6000,985.4720,997.5040,96.06,119.31,1.0001,1.19
gate_up,8,14336,4096,2,993.7920,994.3040,1007.7400,95.39,118.47,0.9995,1.38
gate_up,16,14336,4096,2,1014.4000,1014.6559,1033.7280,93.68,116.35,0.9997,1.87
gate_up,32,14336,4096,2,990.4640,992.1280,999.1680,96.43,119.76,0.9983,0.87
gate_up,64,14336,4096,2,985.3440,986.3680,996.2240,97.89,121.58,0.9990,1.09
gate_up,128,14336,4096,2,1083.9040,1087.7360,1104.6400,90.74,112.70,0.9965,1.88
gate_up,256,14336,4096,2,2000.3841,2046.0801,2046.0801,51.07,63.43,0.9777,2.23
down_proj,1,4096,14336,2,918.7560,918.7800,929.7920,102.95,127.87,1.0000,1.19
down_proj,2,4096,14336,2,1003.2640,1003.5120,1018.3680,94.31,117.13,0.9998,1.48
down_proj,4,4096,14336,2,1007.2320,1005.3120,1018.8800,94.00,116.74,1.0019,1.14
down_proj,8,4096,14336,2,1008.3840,1008.2560,1025.2800,94.01,116.76,1.0001,1.65
down_proj,16,4096,14336,2,1014.4000,1014.9120,1031.4240,93.68,116.35,0.9995,1.65
down_proj,32,4096,14336,2,945.1520,944.3560,964.7360,101.05,125.50,1.0008,2.03
down_proj,64,4096,14336,2,1243.6481,1235.4560,1264.7680,77.56,96.33,1.0066,1.67
down_proj,128,4096,14336,2,1270.2600,1265.7920,1288.7040,77.43,96.17,1.0035,1.43
down_proj,256,4096,14336,2,2301.1839,2304.2560,2302.6919,44.39,55.14,0.9987,0.07
gpt_oss_2880,1,2880,2880,2,134.2720,134.1440,136.4480,99.54,123.63,1.0010,1.59
gpt_oss_2880,2,2880,2880,2,151.6800,152.3200,154.3680,88.18,109.52,0.9958,1.74
gpt_oss_2880,4,2880,2880,2,152.1920,153.1840,155.7760,88.00,109.30,0.9935,2.30
gpt_oss_2880,8,2880,2880,2,135.9360,136.3000,139.1360,98.80,122.71,0.9973,2.30
gpt_oss_2880,16,2880,2880,2,137.7040,137.9840,140.4160,98.07,121.81,0.9980,1.93
gpt_oss_2880,32,2880,2880,2,182.6560,183.5520,185.3280,74.75,92.84,0.9951,1.44
gpt_oss_2880,64,2880,2880,2,172.4160,172.9280,179.0720,80.91,100.49,0.9970,3.72
gpt_oss_2880,128,2880,2880,2,206.1880,206.7200,209.2800,70.54,87.61,0.9974,1.48
gpt_oss_2880,256,2880,2880,2,311.7880,312.5760,323.5840,50.45,62.66,0.9975,3.65
fused_qkv,1,6144,4096,2,396.4160,395.9040,398.7200,102.27,127.02,1.0013,0.58
fused_qkv,2,6144,4096,2,426.1000,428.0320,443.2640,95.18,118.22,0.9955,3.87
fused_qkv,4,6144,4096,2,427.7560,429.6640,443.1040,94.89,117.86,0.9956,3.46
fused_qkv,8,6144,4096,2,432.0000,434.3040,448.7680,94.11,116.89,0.9947,3.74
fused_qkv,16,6144,4096,2,440.8320,443.2640,454.7840,92.53,114.92,0.9945,3.07
fused_qkv,32,6144,4096,2,438.0160,437.2480,453.3760,93.72,116.40,1.0018,3.39
fused_qkv,64,6144,4096,2,545.9200,541.0560,561.4080,76.17,94.60,1.0090,2.76
fused_qkv,128,6144,4096,2,540.4160,540.5440,552.1920,78.89,97.99,0.9998,2.13
fused_qkv,256,6144,4096,2,910.7200,910.8480,922.7520,49.13,61.02,0.9999,1.30
