shape,M,N,K,format,rotation,graphed_cold_us,graphed_hot_us,looped_cold_us,ideal_us,pct_of_ideal,achieved_gbps,l2_inflation,launch_share
q_o_proj,1,4096,4096,fp16,2,264.1720,264.0640,267.0080,270.1645,102.27,127.02,1.0004,1.06
q_o_proj,1,4096,4096,fp8_e4m3,2,133.5040,133.2480,135.8080,135.0823,101.18,125.67,1.0019,1.70
q_o_proj,1,4096,4096,int4_g128,2,69.8880,70.1440,72.4480,69.6518,99.66,123.78,0.9964,3.53
q_o_proj,1,4096,4096,mxfp4,2,72.1920,72.8320,74.8800,71.7624,99.40,123.46,0.9912,3.59
q_o_proj,1,4096,4096,nvfp4,2,76.2880,76.1600,78.5920,75.9838,99.60,123.70,1.0017,2.93
kv_gqa,1,1024,4096,fp16,2,67.9680,68.0960,70.0160,67.5411,99.37,123.42,0.9981,2.93
kv_gqa,1,1024,4096,fp8_e4m3,2,35.4440,35.3280,37.1200,33.7706,95.28,118.34,1.0033,4.52
kv_gqa,1,1024,4096,int4_g128,2,19.5840,19.9680,24.8160,17.4129,88.91,110.43,0.9808,21.08
kv_gqa,1,1024,4096,mxfp4,2,20.2240,20.0840,25.4720,17.9406,88.71,110.18,1.0070,20.60
kv_gqa,1,1024,4096,nvfp4,2,22.1440,21.7600,28.7840,18.9959,85.78,106.54,1.0176,23.07
gate_up,1,14336,4096,fp16,2,915.5840,916.2000,920.3200,945.5758,103.28,128.27,0.9993,0.51
gate_up,1,14336,4096,fp8_e4m3,2,461.1800,460.4160,462.3360,472.7879,102.52,127.33,1.0017,0.25
gate_up,1,14336,4096,int4_g128,2,238.7200,239.4520,241.9160,243.7813,102.12,126.83,0.9969,1.32
gate_up,1,14336,4096,mxfp4,2,245.3760,245.5920,247.8080,251.1686,102.36,127.13,0.9991,0.98
gate_up,1,14336,4096,nvfp4,2,259.5720,261.7600,263.4160,265.9432,102.45,127.25,0.9916,1.46
down_proj,1,4096,14336,fp16,2,915.5680,916.4800,918.2680,945.5758,103.28,128.27,0.9990,0.29
down_proj,1,4096,14336,fp8_e4m3,2,459.1360,459.0080,462.4360,472.7879,102.97,127.89,1.0003,0.71
down_proj,1,4096,14336,int4_g128,2,237.9520,237.9280,240.3840,243.7813,102.45,127.24,1.0001,1.01
down_proj,1,4096,14336,mxfp4,2,245.2480,245.1200,248.1920,251.1686,102.41,127.20,1.0005,1.19
down_proj,1,4096,14336,nvfp4,2,259.4560,259.3280,261.7600,265.9432,102.50,127.31,1.0005,0.88
gpt_oss_2880,1,2880,2880,fp16,2,132.0960,131.8400,133.8880,133.5652,101.11,125.58,1.0019,1.34
gpt_oss_2880,1,2880,2880,fp8_e4m3,2,67.4560,67.3280,69.3760,66.7826,99.00,122.96,1.0019,2.77
gpt_oss_2880,1,2880,2880,int4_g128,2,36.2160,36.2240,38.8920,34.4348,95.08,118.09,0.9998,6.88
gpt_oss_2880,1,2880,2880,mxfp4,2,36.9920,37.3760,38.9120,35.4783,95.91,119.12,0.9897,4.93
gpt_oss_2880,1,2880,2880,nvfp4,2,39.1680,39.0400,41.3440,37.5652,95.91,119.12,1.0033,5.26
fused_qkv,1,6144,4096,fp16,2,393.8560,393.9840,396.5240,405.2468,102.89,127.79,0.9997,0.67
fused_qkv,1,6144,4096,fp8_e4m3,2,198.3840,198.7840,200.5760,202.6234,102.14,126.85,0.9980,1.09
fused_qkv,1,6144,4096,int4_g128,2,103.9360,103.5520,106.1120,104.4777,100.52,124.85,1.0037,2.05
fused_qkv,1,6144,4096,mxfp4,2,106.8800,107.0080,109.0560,107.6437,100.71,125.09,0.9988,2.00
fused_qkv,1,6144,4096,nvfp4,2,112.7680,112.7680,115.0720,113.9757,101.07,125.53,1.0000,2.00
